N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,labels
6.0,0.7082609701161304,0.5138313166552815,0.7082609691985082,0.9060045805649346,0.8218938865521355,0.9060045806522639,0.907838566995347,0.825022610630403,0.9078385668552824,0.9999999999997942,0.9999999999999998,6.0,6.0,6.0,6.0,GHZ
6.0,0.4002215314072485,0.6525399525224341,0.8009669433310775,0.47584984560707816,0.9041618251343565,0.9506548303268455,0.47527885942483966,0.9038433719651561,0.9505380513371511,0.4999854406843175,0.9999999999999998,6.0,6.0,6.0,6.0,GHZ + noise
6.0,0.39975006105805755,0.6514296745339976,0.8002467614650082,0.47415671891301314,0.9050466032657168,0.9511243558469119,0.4752877179391164,0.9038433720713435,0.950538051399474,0.4999976079794588,0.9999999999999983,6.0,6.0,6.0,6.0,GHZ + noise
6.0,0.7232099572194648,0.5337913091399655,0.7226170549431186,0.9237254609141078,0.8539533026936326,0.923584319051779,0.9254889729264555,0.856448552475211,0.9250114587535189,1.000013833852678,0.9999999999999987,6.0,6.0,6.0,6.0,GHZ + noise
6.0,0.3997895349277282,0.6520365489431746,0.8006584073972549,0.47546892811547126,0.9035586479322547,0.9503265993172647,0.47529682353694325,0.9038433720367944,0.9505380513793286,0.5000044070179257,0.9999999999999998,6.0,6.0,6.0,6.0,GHZ + noise
6.0,0.7243672861602879,0.5352516253109797,0.7238619064916514,0.9246674192083175,0.8556806716853298,0.924624602152261,0.9279102309130329,0.8604962291928022,0.9272868290151546,1.0000081422930314,0.9999999999999989,6.0,6.0,6.0,6.0,GHZ + noise
6.0,0.7434459672537373,0.5643859889436051,0.7434459649492682,0.9282125895494628,0.8627262633834308,0.928212589180168,0.9293630014915389,0.8645689652422099,0.9293630029889732,0.9999999999988044,0.9999999999999983,6.0,6.0,6.0,6.0,W
6.0,0.7434315767281326,0.5645144713750511,0.7433255360582324,0.9312537590652755,0.8671512469292852,0.9306346522610558,0.9315409958669351,0.8677779107359236,0.9311126768118431,0.9999795524772699,0.9999999999999999,6.0,6.0,6.0,6.0,W + noise
6.0,0.7426536612805913,0.5631318213953516,0.7422809237719459,0.9265361027535515,0.8588772521692926,0.9260710020978491,0.924263641064094,0.8548194770667814,0.9240290067114576,0.9999915738186012,0.9999999999999998,6.0,6.0,6.0,6.0,W + noise
6.0,0.7433061874154899,0.5640644209152312,0.742978403773529,0.9272928191131715,0.860184497248924,0.9267440311738363,0.9252434350792749,0.8567810353974457,0.9250824127558535,1.0000114003449385,0.9999999999999989,6.0,6.0,6.0,6.0,W + noise
6.0,0.7442245289173188,0.5654995077678395,0.7439826610977671,0.9266853264861709,0.8593383971772028,0.9263093237477725,0.9253241842387152,0.8567410717388059,0.9250619265920599,0.9999716737192292,0.9999999999999999,6.0,6.0,6.0,6.0,W + noise
6.0,0.738813573810138,0.5589107470020718,0.7388152108415745,0.9281765603082766,0.8627931550595225,0.9281785559856627,0.9300607438103814,0.8659435233209919,0.9300627848849881,0.9999989210740927,1.0000000000000004,6.0,6.0,6.0,6.0,W + noise
