N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho
3.0,0.6175848252261683,0.5678774675138913,0.7450353831993455,0.7878836102223631,0.9058363609916589,0.9514581779932286,0.7882900829307444,0.9054010115737094,0.9512680069901746,0.8283311379722875,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.7081871778642272,0.5851837527099146,0.7569894468414173,0.890159136209509,0.9090785262148652,0.9531539128443897,0.8894086639739516,0.9071326228417239,0.9521818228250605,0.9340147351508844,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.4126984796103058,0.6552109883514581,0.8038113187894049,0.493607057349413,0.9328432926946728,0.9656414763363151,0.4932185491936756,0.931599202130775,0.9650399153457992,0.5111894949151001,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.6494016346819029,0.6020703032007099,0.7689034042082094,0.810082952022527,0.9169264757197625,0.9572541691078637,0.8100279422878005,0.9160463412094308,0.9568355016176876,0.8465813950293186,1.0,3.0,3.0,3.0,3.0
3.0,0.4138841607672454,0.6190907591994885,0.7804503661121466,0.509236402239361,0.9135120957775077,0.9554988905918802,0.5082454106559882,0.9130180535862035,0.9552843986585721,0.531972956707018,1.0,3.0,3.0,3.0,3.0
3.0,0.33614535179326155,0.6528143039023023,0.8014336915694595,0.4011018215344234,0.9233734067845134,0.9606979009726727,0.3993749158163116,0.9200445402478092,0.9589732307266199,0.41639793210908677,0.9999999999999997,3.0,3.0,3.0,3.0
3.0,0.5944061018717567,0.5615535447259858,0.7422970001677474,0.7601435890537229,0.9014422263549862,0.9490889939889269,0.7583485556632585,0.9017515597759507,0.9493055129582191,0.7987935193233889,1.0000000000000002,3.0,3.0,3.0,3.0
3.0,0.5007858444151168,0.5544020701421127,0.736695777295158,0.6415679472025724,0.901624473630604,0.9491692572969856,0.6411813539736183,0.9012772142472305,0.9490467763163717,0.6750180825137522,1.000000000000002,3.0,3.0,3.0,3.0
3.0,0.6145900000841356,0.5698713539861409,0.7477976602689289,0.7794133343666778,0.9004933551019187,0.9486148431102237,0.7800175995900501,0.9031074729755313,0.9500094171976496,0.821171268200096,1.0000000000000013,3.0,3.0,3.0,3.0
3.0,0.42988340839038275,0.6708795855183489,0.8128435534839553,0.5045505161607553,0.9246233372558534,0.9613018760357717,0.5044123089228776,0.9274692750133922,0.9628274790604292,0.5230293666566843,0.9999999999999976,3.0,3.0,3.0,3.0
3.0,0.4360216513967944,0.628306049486278,0.784649342848053,0.5314958796564301,0.9215079436557085,0.9597148853004613,0.5307050535850995,0.9191608663421287,0.9585132787376393,0.5534140765022953,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.5491526983492565,0.5551781879353013,0.7373975533381498,0.7029037022325532,0.9026144700221386,0.9497505992325473,0.7022248017499806,0.9012584142574236,0.949090518186914,0.7389627917094008,0.9999999999999991,3.0,3.0,3.0,3.0
3.0,0.7139743351809199,0.6327333636425392,0.7881783966679304,0.864786370055358,0.9204096724803806,0.9590936917590458,0.8657697605335702,0.923058829280317,0.9605097472955754,0.9009636013507659,0.9999999999999992,3.0,3.0,3.0,3.0
3.0,0.6037768173452669,0.580832090518445,0.7536306425256711,0.7613661086424829,0.9047623079024265,0.9508051623773852,0.7629264263400743,0.9075186376034685,0.9523520252383422,0.8011786997036914,0.9999999999999996,3.0,3.0,3.0,3.0
3.0,0.5126340578287798,0.5777223645880696,0.7519342193023868,0.6491835985070461,0.9059409255191058,0.9514495719653163,0.6497726862024946,0.9085692107457641,0.9528709857039301,0.6819170240875005,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.42102713508239464,0.6662110183358009,0.810628812911562,0.5019621458904249,0.9266390227626046,0.9623870544862726,0.5003977817385616,0.9272389503884897,0.9627474485104761,0.5199715560626763,0.9999999999999997,3.0,3.0,3.0,3.0
3.0,0.7215838028169879,0.6059105042699033,0.7714541051819112,0.8913466126199341,0.9161552015610396,0.9568680762417394,0.8906051606921147,0.9136005473123052,0.9555767649939028,0.9317327544977574,0.9999999999999998,3.0,3.0,3.0,3.0
3.0,0.6634294872913239,0.5699470797563321,0.7475396065401543,0.8406642179576573,0.9023177205074593,0.949565931687325,0.8413344618780492,0.903524813545279,0.9502364040637592,0.8853655993509799,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.6448618909093276,0.5757700988596223,0.7506550358845879,0.8195256754075608,0.909444945831793,0.9533069447163821,0.8196207264967271,0.9103652382291108,0.9538512127329327,0.8593001189231584,0.9999999999999993,3.0,3.0,3.0,3.0
3.0,0.6519061575530566,0.6833416302432336,0.8220774780617742,0.7662548583781964,0.9341845738414407,0.9663643553203219,0.7663239764087696,0.9346006646516544,0.9666138957464201,0.7927838783219052,1.0,3.0,3.0,3.0,3.0
3.0,0.6297374088283269,0.5750153388089501,0.7510130361827387,0.7957769149905791,0.9029261111976628,0.9499212157698957,0.7968185854484929,0.9043997045558582,0.9507560919543094,0.8380978163198662,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.5168417577909876,0.624452442161535,0.7824737396000457,0.6385065195682651,0.9236612086286466,0.960740621029426,0.6378295915853939,0.9225557409341745,0.9602261904519545,0.6648237751555521,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.655566977052997,0.5752069494328758,0.7501600477637071,0.8287676969702307,0.9062582968480206,0.9516130848577851,0.8302881753323775,0.9095149356565901,0.9533966051620861,0.8705222981919625,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.6011792661829402,0.5668420376527172,0.7449282123102448,0.7642098267108934,0.9023070454857178,0.9494655323416706,0.7649445025638099,0.9025959483988393,0.949689397761018,0.8054705035142338,1.0000000000000002,3.0,3.0,3.0,3.0
3.0,0.64627268667824,0.5985432324862586,0.7663872314410457,0.8070521029973811,0.9100481489105097,0.9536343409672612,0.8065815936874959,0.908927005946814,0.953083427789299,0.8463323360376607,0.9999999999999987,3.0,3.0,3.0,3.0
3.0,0.4163083614322351,0.615741022605228,0.7776502398546017,0.5143679653772397,0.9201448831088579,0.9590115619553431,0.5154283895469327,0.9214238912837341,0.9596837567896996,0.5383142680245425,0.9999999999999987,3.0,3.0,3.0,3.0
3.0,0.6641199875135504,0.5929964918782511,0.762062992110517,0.8375168476834638,0.919333723784901,0.958412600013287,0.8361635923455111,0.917573845544899,0.9575484328283803,0.8734240511888014,0.9999999999999989,3.0,3.0,3.0,3.0
3.0,0.7090846452179232,0.6326824435821035,0.787782177423769,0.8635337006978385,0.9194258956085044,0.9586121876326398,0.8640590533495522,0.9204614809887596,0.9592064592347596,0.9007342564079782,1.000000000000002,3.0,3.0,3.0,3.0
