N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,labels
7.0,0.41123557712343145,0.6821009656642413,0.8227767176848974,0.44765608565149045,0.8111685657962738,0.8946552492221809,0.4654014296293546,0.867110532394102,0.930802135931483,0.49999999999473577,0.9999999999999956,7.0,7.0,7.0,7.0,GHZ
7.0,0.3856762267129903,0.6080830398651323,0.7721035324035991,0.44009827850038385,0.7795405862480006,0.8790703784392301,0.4436138409629394,0.7893736152063918,0.8872197311571928,0.5000017170268986,0.9999999999999989,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.38917725359767796,0.6125263431085356,0.7778410823648731,0.43356109201582,0.7552151623945658,0.867232609874515,0.027308154769325525,0.061631230729070535,0.05389130907537298,0.5000122673350673,0.9999999999999966,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.7315626772344138,0.54496751364621,0.7315581886546116,0.8902350232387171,0.7930342759662996,0.8895568395082463,0.9108480181586629,0.8305604731454981,0.9108471325186769,0.9999891529292353,0.9999999999999977,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.7024124442919686,0.5035577263942979,0.7024090252106964,0.8666899837183974,0.7540650177589038,0.8666857515929852,0.06143880517542569,0.05986185314625536,0.061438499259626675,1.000002433726485,0.9999999999999987,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.690489029982807,0.49286791629982213,0.690486368821632,0.876199736926718,0.7692198699000041,0.8756595727452177,0.8496245197229514,0.7238048173741829,0.8491451711641596,0.999984851552989,0.9999999999999976,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.3192132525930322,0.41555264189039265,0.6146100102772186,0.3894650867356202,0.5810181523491043,0.7510053712058207,0.47127608524239334,0.8509017672858339,0.921963931383839,0.5113694490933983,0.9999999999999966,7.0,7.0,7.0,7.0,W
7.0,0.6777755126416914,0.4736097656374142,0.6773608143941194,0.7979558040968517,0.6469700288179805,0.7974846989637596,0.04630137588048796,0.04620263774828519,0.04628665795540479,1.0000161976497095,0.9999999999999978,7.0,7.0,7.0,7.0,W + noise
7.0,0.6972711155919302,0.5003092994617964,0.69669245225382,0.814705130032522,0.6722067245962722,0.8143247378410226,0.9014072449696535,0.812804550519578,0.9010326727918976,0.9999877022190856,0.9999999999999988,7.0,7.0,7.0,7.0,W + noise
7.0,0.689498302976117,0.48781278661464844,0.6889819346785738,0.8129124097406051,0.6687030459939136,0.8124511825933508,0.9005372725409417,0.8112490430920286,0.9001574343607702,1.000028396751787,0.999999999999997,7.0,7.0,7.0,7.0,W + noise
7.0,0.7017453136226276,0.5050239597881911,0.7017486307886127,0.7898548460129422,0.6347342695140672,0.7898580957045078,0.9135834018725109,0.8355305871687067,0.9135873696955729,0.9999978286279487,0.9999999999999971,7.0,7.0,7.0,7.0,W + noise
7.0,0.6601155183631947,0.4531297555515254,0.6596966814404375,0.8196191562943217,0.6775816454648801,0.8190145532020543,0.9096527786069806,0.8271450228365826,0.9089708304247931,1.0000265867723854,0.9999999999999973,7.0,7.0,7.0,7.0,W + noise
