N_entangling,N_entangling_sampler
6.0,6.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,10.0
6.0,6.0
6.0,9.0
6.0,7.0
6.0,9.0
6.0,10.0
6.0,10.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,5.0
6.0,7.0
6.0,7.0
6.0,9.0
6.0,12.0
6.0,9.0
6.0,13.0
6.0,7.0
6.0,6.0
6.0,10.0
6.0,10.0
6.0,12.0
6.0,9.0
6.0,10.0
6.0,9.0
6.0,9.0
6.0,7.0
6.0,8.0
6.0,12.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,7.0
6.0,9.0
6.0,7.0
6.0,10.0
6.0,9.0
6.0,9.0
6.0,10.0
6.0,9.0
6.0,15.0
6.0,7.0
6.0,6.0
6.0,9.0
6.0,10.0
6.0,11.0
6.0,7.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,12.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,7.0
6.0,10.0
6.0,9.0
6.0,10.0
6.0,9.0
6.0,6.0
6.0,7.0
6.0,5.0
6.0,10.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,10.0
6.0,12.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,9.0
6.0,12.0
6.0,6.0
6.0,7.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,6.0
6.0,6.0
6.0,6.0
6.0,9.0
6.0,9.0
6.0,9.0
6.0,9.0
6.0,9.0
6.0,12.0
6.0,9.0
6.0,8.0
6.0,6.0
6.0,7.0
6.0,9.0
6.0,9.0
6.0,12.0
6.0,6.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,6.0
6.0,12.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,7.0
6.0,9.0
6.0,12.0
6.0,8.0
6.0,12.0
6.0,10.0
6.0,10.0
6.0,9.0
6.0,10.0
6.0,7.0
6.0,10.0
6.0,9.0
6.0,9.0
6.0,11.0
6.0,7.0
6.0,9.0
6.0,9.0
6.0,7.0
6.0,6.0
6.0,9.0
6.0,12.0
6.0,9.0
6.0,10.0
6.0,10.0
6.0,9.0
6.0,10.0
6.0,9.0
6.0,12.0
6.0,6.0
6.0,9.0
6.0,15.0
6.0,10.0
6.0,10.0
6.0,12.0
6.0,11.0
6.0,6.0
6.0,9.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,7.0
6.0,10.0
6.0,6.0
6.0,9.0
6.0,15.0
6.0,12.0
6.0,9.0
6.0,6.0
6.0,6.0
6.0,6.0
6.0,12.0
6.0,9.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,8.0
6.0,6.0
6.0,12.0
6.0,12.0
6.0,9.0
6.0,10.0
6.0,15.0
6.0,9.0
6.0,7.0
6.0,12.0
6.0,10.0
6.0,12.0
6.0,6.0
6.0,6.0
6.0,7.0
6.0,7.0
6.0,9.0
6.0,7.0
6.0,7.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,7.0
6.0,6.0
6.0,9.0
6.0,12.0
6.0,6.0
6.0,10.0
6.0,7.0
6.0,9.0
6.0,10.0
6.0,9.0
6.0,7.0
6.0,12.0
6.0,12.0
6.0,9.0
6.0,10.0
6.0,9.0
6.0,9.0
6.0,10.0
6.0,10.0
6.0,6.0
6.0,12.0
6.0,6.0
6.0,9.0
6.0,7.0
6.0,10.0
6.0,9.0
6.0,6.0
6.0,12.0
6.0,15.0
6.0,6.0
6.0,12.0
6.0,6.0
6.0,8.0
6.0,6.0
6.0,12.0
6.0,9.0
6.0,9.0
6.0,7.0
6.0,9.0
6.0,7.0
6.0,9.0
6.0,10.0
6.0,10.0
6.0,9.0
6.0,6.0
6.0,6.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,14.0
6.0,9.0
6.0,6.0
6.0,9.0
6.0,7.0
6.0,6.0
6.0,9.0
6.0,9.0
6.0,11.0
6.0,9.0
6.0,9.0
6.0,9.0
6.0,10.0
6.0,9.0
6.0,9.0
6.0,9.0
6.0,6.0
6.0,12.0
6.0,12.0
6.0,10.0
6.0,9.0
6.0,9.0
6.0,12.0
6.0,7.0
6.0,10.0
6.0,12.0
6.0,7.0
6.0,9.0
6.0,9.0
6.0,12.0
6.0,9.0
6.0,7.0
