N_entangling,N_entangling_sampler
7.0,7.0
7.0,8.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,8.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,8.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,8.0
7.0,8.0
7.0,5.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,9.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,5.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,9.0
7.0,8.0
7.0,10.0
7.0,6.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,8.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,7.0
7.0,10.0
7.0,8.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,8.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,6.0
7.0,7.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,6.0
7.0,7.0
7.0,8.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,5.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,5.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,9.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,9.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,6.0
7.0,6.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,5.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,6.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,5.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,7.0
7.0,4.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,8.0
7.0,10.0
7.0,6.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,5.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,8.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,5.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,9.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,5.0
7.0,6.0
7.0,6.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,6.0
7.0,7.0
7.0,9.0
7.0,10.0
7.0,8.0
7.0,7.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,8.0
7.0,7.0
7.0,8.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,8.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,7.0
7.0,7.0
7.0,6.0
7.0,5.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,6.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,6.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,7.0
7.0,7.0
7.0,6.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,5.0
7.0,10.0
7.0,8.0
7.0,6.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,6.0
7.0,7.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,8.0
7.0,8.0
7.0,5.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,9.0
7.0,10.0
7.0,6.0
7.0,10.0
7.0,7.0
7.0,6.0
7.0,5.0
7.0,8.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,6.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,10.0
7.0,5.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,6.0
7.0,5.0
7.0,7.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,9.0
7.0,10.0
7.0,10.0
7.0,10.0
7.0,7.0
7.0,7.0
7.0,10.0
7.0,7.0
7.0,8.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,8.0
7.0,10.0
