,sequence,verbose,loss,fid
3949,"(4, 6, 3, 2, 7)","0-3, 1-2, 0-2, 0-1, 1-3",3.5207713928580864e-12,1.0000000007054
5042,"(6, 4, 7, 4, 10)","1-2, 0-3, 1-3, 0-3, 2-3",1.2041558624961969e-15,0.9999999999999988
2952,"(3, 6, 10, 7, 3)","0-2, 1-2, 2-3, 1-3, 0-2",7.347928607641682e-15,0.9999999999999931
6467,"(7, 7, 3, 6, 3)","1-3, 1-3, 0-2, 1-2, 0-2",1.2422282292944362e-14,0.9999999999999877
2825,"(3, 6, 3, 10, 6)","0-2, 1-2, 0-2, 2-3, 1-2",1.2988917303719343e-14,0.9999999999999867
4104,"(4, 6, 10, 4, 6)","0-3, 1-2, 2-3, 0-3, 1-2",1.4649958610520145e-14,0.9999999999999848
3023,"(3, 7, 3, 7, 2)","0-2, 1-3, 0-2, 1-3, 0-1",1.6061017379822642e-14,0.9999999999999835
7351,"(10, 4, 10, 4, 7)","2-3, 0-3, 2-3, 0-3, 1-3",1.9391660866736586e-14,0.9999999999999807
4765,"(6, 3, 4, 6, 3)","1-2, 0-2, 0-3, 1-2, 0-2",2.326732333384345e-14,0.9999999999999764
2005,"(2, 7, 10, 7, 2)","0-1, 1-3, 2-3, 1-3, 0-1",2.530380979134077e-14,0.9999999999999748
4783,"(6, 3, 6, 2, 7)","1-2, 0-2, 1-2, 0-1, 1-3",2.897377373175507e-14,0.9999999999999707
6026,"(7, 3, 10, 6, 3)","1-3, 0-2, 2-3, 1-2, 0-2",3.35630699939707e-14,0.999999999999966
7309,"(10, 4, 7, 2, 10)","2-3, 0-3, 1-3, 0-1, 2-3",3.482933423077277e-14,0.9999999999999653
4223,"(4, 7, 6, 3, 4)","0-3, 1-3, 1-2, 0-2, 0-3",3.81119854237918e-14,0.9999999999999618
5972,"(7, 3, 7, 2, 3)","1-3, 0-2, 1-3, 0-1, 0-2",4.349188509347804e-14,0.9999999999999563
7782,"(10, 10, 3, 2, 3)","2-3, 2-3, 0-2, 0-1, 0-2",4.5263129022326164e-14,0.9999999999999549
2641,"(3, 4, 3, 7, 4)","0-2, 0-3, 0-2, 1-3, 0-3",4.6442794295050403e-14,0.9999999999999536
4417,"(4, 10, 6, 4, 3)","0-3, 2-3, 1-2, 0-3, 0-2",4.688818712739352e-14,0.9999999999999535
5162,"(6, 6, 4, 3, 10)","1-2, 1-2, 0-3, 0-2, 2-3",4.701497446189026e-14,0.9999999999999531
6291,"(7, 6, 3, 6, 10)","1-3, 1-2, 0-2, 1-2, 2-3",5.1422515961292765e-14,0.9999999999999478
4241,"(4, 7, 6, 7, 4)","0-3, 1-3, 1-2, 1-3, 0-3",5.321283643516331e-14,0.9999999999999472
3032,"(3, 7, 3, 10, 6)","0-2, 1-3, 0-2, 2-3, 1-2",5.3732611132079586e-14,0.9999999999999463
5500,"(6, 10, 3, 4, 6)","1-2, 2-3, 0-2, 0-3, 1-2",5.496905837087586e-14,0.9999999999999454
3231,"(3, 10, 3, 6, 7)","0-2, 2-3, 0-2, 1-2, 1-3",5.878640646790485e-14,0.9999999999999409
1195,"(2, 2, 6, 10, 6)","0-1, 0-1, 1-2, 2-3, 1-2",6.272968261309596e-14,0.999999999999938
2046,"(2, 10, 2, 7, 10)","0-1, 2-3, 0-1, 1-3, 2-3",6.350468734834423e-14,0.9999999999999367
6885,"(10, 2, 6, 2, 7)","2-3, 0-1, 1-2, 0-1, 1-3",6.306088952730902e-14,0.9999999999999366
3961,"(4, 6, 3, 4, 7)","0-3, 1-2, 0-2, 0-3, 1-3",6.45724884544992e-14,0.9999999999999356
4043,"(4, 6, 6, 7, 4)","0-3, 1-2, 1-2, 1-3, 0-3",6.484713392126135e-14,0.9999999999999349
4993,"(6, 4, 6, 2, 7)","1-2, 0-3, 1-2, 0-1, 1-3",6.571557903638963e-14,0.9999999999999339
4041,"(4, 6, 6, 7, 2)","0-3, 1-2, 1-2, 1-3, 0-1",6.669643799988055e-14,0.9999999999999334
6480,"(7, 7, 3, 10, 4)","1-3, 1-3, 0-2, 2-3, 0-3",6.962411102498188e-14,0.9999999999999303
5077,"(6, 4, 10, 4, 7)","1-2, 0-3, 2-3, 0-3, 1-3",6.980239740604754e-14,0.9999999999999298
4208,"(4, 7, 4, 7, 10)","0-3, 1-3, 0-3, 1-3, 2-3",7.495493372290765e-14,0.9999999999999244
6031,"(7, 3, 10, 7, 2)","1-3, 0-2, 2-3, 1-3, 0-1",7.961292709739106e-14,0.9999999999999203
2206,"(2, 10, 10, 3, 6)","0-1, 2-3, 2-3, 0-2, 1-2",8.188120930390598e-14,0.9999999999999181
6957,"(10, 2, 10, 2, 7)","2-3, 0-1, 2-3, 0-1, 1-3",8.432793443725101e-14,0.9999999999999156
2432,"(3, 3, 2, 4, 7)","0-2, 0-2, 0-1, 0-3, 1-3",8.626548183511927e-14,0.9999999999999141
