sequences,seq_str,occur,freq
"[12, 7, 2, 12, 17, 12, 7, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 3-4, 2-3, 1-2",494,0.494
"[12, 7, 2, 12, 7, 12, 17, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 1-2, 2-3, 3-4",325,0.325
"[2, 7, 2, 12, 7, 12, 17, 0, 0, 0, 0, 0]","0-1, 1-2, 0-1, 2-3, 1-2, 2-3, 3-4",45,0.045
"[2, 7, 2, 12, 17, 12, 7, 0, 0, 0, 0, 0]","0-1, 1-2, 0-1, 2-3, 3-4, 2-3, 1-2",40,0.04
"[2, 7, 2, 12, 7, 17, 12, 0, 0, 0, 0, 0]","0-1, 1-2, 0-1, 2-3, 1-2, 3-4, 2-3",33,0.033
"[12, 7, 2, 12, 7, 17, 12, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 1-2, 3-4, 2-3",33,0.033
"[12, 7, 2, 12, 17, 7, 12, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 3-4, 1-2, 2-3",14,0.014
"[12, 7, 2, 12, 12, 17, 7, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 2-3, 3-4, 1-2",3,0.003
"[2, 7, 2, 12, 17, 7, 12, 0, 0, 0, 0, 0]","0-1, 1-2, 0-1, 2-3, 3-4, 1-2, 2-3",3,0.003
"[12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",3,0.003
"[7, 7, 2, 12, 17, 12, 7, 0, 0, 0, 0, 0]","1-2, 1-2, 0-1, 2-3, 3-4, 2-3, 1-2",2,0.002
"[7, 7, 2, 12, 7, 12, 17, 0, 0, 0, 0, 0]","1-2, 1-2, 0-1, 2-3, 1-2, 2-3, 3-4",2,0.002
"[12, 7, 12, 2, 12, 17, 7, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 2-3, 3-4, 1-2",1,0.001
"[12, 12, 7, 17, 12, 17, 12, 0, 0, 0, 0, 0]","2-3, 2-3, 1-2, 3-4, 2-3, 3-4, 2-3",1,0.001
"[12, 7, 12, 2, 12, 7, 17, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 2-3, 1-2, 3-4",1,0.001
