Label,Fidelity,Actions,Verbose Sequence
GHZ,0.49999999999904343,"[21.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","4-3, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
GHZ + noise,1.0000020203509226,"[21.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","4-3, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
GHZ + noise,0.9999970025107975,"[21.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","4-3, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
GHZ + noise,0.49999195609115005,"[21.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","4-3, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
GHZ + noise,0.9999616181870048,"[21.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","4-3, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
GHZ + noise,1.000005838362243,"[21.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","4-3, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
W,0.9999999999732677,"[17.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","3-4, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
W + noise,1.000011267360473,"[17.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","3-4, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
W + noise,0.9999818156610749,"[17.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","3-4, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
W + noise,1.0000069007986898,"[17.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","3-4, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
W + noise,1.0000208738904859,"[17.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","3-4, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
W + noise,1.000029215660336,"[17.0, 12.0, 7.0, 12.0, 11.0, 21.0, 12.0, 6.0, 11.0]","3-4, 2-3, 1-2, 2-3, 2-1, 4-3, 2-3, 1-0, 2-1"
