Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999999913,"[10.0, 4.0, 2.0, 9.0, 4.0, 2.0, 3.0]","2-0, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2"
GHZ + noise,0.5000112729612413,"[10.0, 4.0, 2.0, 9.0, 4.0, 2.0, 3.0]","2-0, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2"
GHZ + noise,0.9999758979020957,"[10.0, 4.0, 2.0, 9.0, 4.0, 2.0, 3.0]","2-0, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2"
GHZ + noise,0.9999759865470035,"[10.0, 4.0, 2.0, 9.0, 4.0, 2.0, 3.0]","2-0, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2"
GHZ + noise,0.2500040380976032,"[10.0, 4.0, 2.0, 9.0, 4.0, 2.0, 3.0]","2-0, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2"
GHZ + noise,1.0000016172924588,"[10.0, 4.0, 2.0, 9.0, 4.0, 2.0, 3.0]","2-0, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2"
W,0.9318055407868275,"[10.0, 4.0, 2.0, 9.0, 4.0, 2.0, 3.0]","2-0, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2"
W + noise,0.931809002152181,"[10.0, 4.0, 2.0, 4.0, 9.0, 2.0, 3.0]","2-0, 0-3, 0-1, 0-3, 1-4, 0-1, 0-2"
W + noise,0.9650369888729718,"[10.0, 4.0, 2.0, 4.0, 9.0, 3.0, 2.0]","2-0, 0-3, 0-1, 0-3, 1-4, 0-2, 0-1"
W + noise,0.931816345808332,"[10.0, 4.0, 2.0, 4.0, 9.0, 2.0, 10.0]","2-0, 0-3, 0-1, 0-3, 1-4, 0-1, 2-0"
W + noise,0.9650510975400969,"[10.0, 4.0, 2.0, 4.0, 9.0, 2.0, 10.0]","2-0, 0-3, 0-1, 0-3, 1-4, 0-1, 2-0"
W + noise,0.964980222418254,"[10.0, 4.0, 2.0, 4.0, 9.0, 2.0, 10.0]","2-0, 0-3, 0-1, 0-3, 1-4, 0-1, 2-0"
