sequences,seq_str,occur,freq
"[3, 2, 3, 4, 2, 3, 9, 2, 4, 3, 0, 0, 0, 0, 0]","0-2, 0-1, 0-2, 0-3, 0-1, 0-2, 1-4, 0-1, 0-3, 0-2",514,0.514
"[9, 2, 3, 4, 2, 3, 9, 2, 4, 3, 0, 0, 0, 0, 0]","1-4, 0-1, 0-2, 0-3, 0-1, 0-2, 1-4, 0-1, 0-3, 0-2",152,0.152
"[3, 2, 3, 4, 2, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-2, 0-1, 0-2, 0-3, 0-1, 0-2, 1-4, 0-1, 0-2, 0-3",139,0.139
"[3, 2, 3, 4, 3, 2, 9, 2, 4, 3, 0, 0, 0, 0, 0]","0-2, 0-1, 0-2, 0-3, 0-2, 0-1, 1-4, 0-1, 0-3, 0-2",63,0.063
"[9, 2, 3, 4, 2, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","1-4, 0-1, 0-2, 0-3, 0-1, 0-2, 1-4, 0-1, 0-2, 0-3",54,0.054
"[3, 3, 2, 4, 2, 3, 9, 2, 4, 3, 0, 0, 0, 0, 0]","0-2, 0-2, 0-1, 0-3, 0-1, 0-2, 1-4, 0-1, 0-3, 0-2",27,0.027
"[3, 3, 2, 4, 2, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-2, 0-2, 0-1, 0-3, 0-1, 0-2, 1-4, 0-1, 0-2, 0-3",16,0.016
"[3, 2, 3, 4, 3, 2, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-2, 0-1, 0-2, 0-3, 0-2, 0-1, 1-4, 0-1, 0-2, 0-3",12,0.012
"[9, 2, 3, 3, 4, 2, 9, 2, 3, 4, 0, 0, 0, 0, 0]","1-4, 0-1, 0-2, 0-2, 0-3, 0-1, 1-4, 0-1, 0-2, 0-3",3,0.003
"[2, 3, 2, 4, 2, 3, 9, 2, 4, 3, 0, 0, 0, 0, 0]","0-1, 0-2, 0-1, 0-3, 0-1, 0-2, 1-4, 0-1, 0-3, 0-2",3,0.003
"[9, 2, 3, 3, 3, 2, 9, 2, 3, 4, 0, 0, 0, 0, 0]","1-4, 0-1, 0-2, 0-2, 0-2, 0-1, 1-4, 0-1, 0-2, 0-3",2,0.002
"[9, 2, 3, 3, 2, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","1-4, 0-1, 0-2, 0-2, 0-1, 0-2, 1-4, 0-1, 0-2, 0-3",2,0.002
"[2, 3, 2, 4, 2, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-1, 0-2, 0-1, 0-3, 0-1, 0-2, 1-4, 0-1, 0-2, 0-3",2,0.002
"[9, 2, 3, 3, 2, 3, 9, 2, 4, 3, 0, 0, 0, 0, 0]","1-4, 0-1, 0-2, 0-2, 0-1, 0-2, 1-4, 0-1, 0-3, 0-2",2,0.002
"[9, 9, 2, 4, 2, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","1-4, 1-4, 0-1, 0-3, 0-1, 0-2, 1-4, 0-1, 0-2, 0-3",2,0.002
"[9, 2, 3, 4, 2, 2, 9, 2, 3, 4, 0, 0, 0, 0, 0]","1-4, 0-1, 0-2, 0-3, 0-1, 0-1, 1-4, 0-1, 0-2, 0-3",1,0.001
"[3, 3, 2, 4, 2, 2, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-2, 0-2, 0-1, 0-3, 0-1, 0-1, 1-4, 0-1, 0-2, 0-3",1,0.001
"[3, 2, 3, 4, 3, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-2, 0-1, 0-2, 0-3, 0-2, 0-2, 1-4, 0-1, 0-2, 0-3",1,0.001
"[2, 3, 3, 4, 2, 2, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-1, 0-2, 0-2, 0-3, 0-1, 0-1, 1-4, 0-1, 0-2, 0-3",1,0.001
"[3, 3, 2, 4, 3, 2, 9, 2, 4, 3, 0, 0, 0, 0, 0]","0-2, 0-2, 0-1, 0-3, 0-2, 0-1, 1-4, 0-1, 0-3, 0-2",1,0.001
"[3, 2, 3, 3, 2, 3, 9, 2, 4, 3, 0, 0, 0, 0, 0]","0-2, 0-1, 0-2, 0-2, 0-1, 0-2, 1-4, 0-1, 0-3, 0-2",1,0.001
"[2, 2, 3, 4, 2, 3, 9, 2, 3, 4, 0, 0, 0, 0, 0]","0-1, 0-1, 0-2, 0-3, 0-1, 0-2, 1-4, 0-1, 0-2, 0-3",1,0.001
