N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
10.0,0.4078293905964736,0.18983448993792965,0.40932916175369416,0.5816807068077302,0.35440921600335246,0.5841276645600377,0.5704580743228795,0.3402715189673123,0.572918030359974,0.9956637866115181,0.9999999999999997,10.0,10.0,10.0,10.0,"4-1, 1-0, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.395520260810898,0.18207181298825115,0.40218605945073505,0.5654747665817742,0.34214847559811445,0.5749044776396881,0.5487753862637335,0.32291201525620816,0.5579355873303713,0.9831089888555031,1.0000000000000007,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3968599555947899,0.18441170870741205,0.40595442053788605,0.5672195027757742,0.3475359091646427,0.5800415316670933,0.5908132354281557,0.37477934745001784,0.6042510286495207,0.9775889839507366,0.9999999999999987,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 2-0, 0-1, 4-1, 0-1, 0-3, 2-0"
10.0,0.39602952123251056,0.18127292935722272,0.4017912860176981,0.5684561552339601,0.34473709043967715,0.5773701611722248,0.5491052858463286,0.3222023037938304,0.5572473222114582,0.985249565319267,0.9999999999999972,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3781623532960201,0.1712695554192336,0.388349452464976,0.5461829012080793,0.3263848386205303,0.5611836398379298,0.5384280788448266,0.3176260219598548,0.5532885924862732,0.9733231851684736,0.9999999999999977,10.0,10.0,10.0,10.0,"4-1, 1-0, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.37905567591136186,0.1709784608001651,0.38872752493334795,0.5527299126978578,0.332669812731864,0.5670923776253907,0.5720491794357027,0.3536454989399045,0.586855103029772,0.9747838260206061,0.9999999999999982,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.3777118950244888,0.16823338641998456,0.3863286813537338,0.5495288720918873,0.32776015357923755,0.5630039649718567,0.5719097496316907,0.35195639793963485,0.5859761553805891,0.9753249289946415,0.9999999999999973,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.38380651883371186,0.17313848919850133,0.3915031134214416,0.5501177863727142,0.32730077895961684,0.5620835621434175,0.5310381007424803,0.3058101851222569,0.5423084344192153,0.9784235291569296,1.0,10.0,10.0,10.0,10.0,"2-0, 1-0, 2-0, 0-3, 1-0, 2-0, 4-1, 0-1, 0-3, 2-0"
10.0,0.38995924710337526,0.17740023757652534,0.3969881036735979,0.5540356891176568,0.3300442158349937,0.5646103975640062,0.531956979069284,0.3053585924494815,0.5424552107589304,0.9792982538033221,1.000000000000001,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 2-0, 0-1, 4-1, 0-1, 0-3, 0-2"
10.0,0.3782141514459197,0.16703001319545996,0.38471375281173226,0.5505104401131485,0.32455124041257205,0.5598548588634354,0.5337323506688098,0.3056149100508067,0.5426740569740633,0.9818593032362936,0.9999999999999982,10.0,10.0,10.0,10.0,"2-0, 0-1, 2-0, 0-3, 2-0, 0-1, 4-1, 0-1, 0-3, 2-0"
