N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
12.0,0.5943022483293342,0.3699265588905285,0.597328501305025,0.7849223125704073,0.6262892137639733,0.7889060138909729,0.7888882877930203,0.6318655025671126,0.7927991071483333,0.995002271115303,0.9999999999999977,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5988681342008138,0.37278970910135345,0.5995275372848248,0.7885345712182543,0.6265804653579781,0.7891666716387189,0.7875525948758998,0.6248149565186024,0.7882389323614858,0.9990544645674307,1.0000000000000007,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5852426273229501,0.36085138746740075,0.5910822421951972,0.7730157564087697,0.6125160074629895,0.7805250113469762,0.777595279893096,0.6194381650762617,0.7851820668261287,0.9903890126550401,1.0000000000000009,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5944940587050935,0.36780193775081826,0.5956980807126805,0.7817284241240107,0.6168836119039512,0.7830849058292597,0.7888486329888137,0.6277129671735878,0.7902037993249066,0.9982749118448067,0.9999999999999984,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5636604177743598,0.3364403255583736,0.5690142618689696,0.7405037058330464,0.5635332508813402,0.7472361344023968,0.7363122788145633,0.5569094339491172,0.7429806664497811,0.9909531275550001,1.0000000000000013,21.0,21.0,21.0,21.0,"2-0, 2-0, 4-1, 1-0, 1-0, 4-1, 4-1, 3-0, 1-0, 2-0, 1-0, 0-3"
12.0,0.5872410273139617,0.3612992842208609,0.5910363074534728,0.7769552731565191,0.6167714054924633,0.7830355649068184,0.7744343097418418,0.6124473501315211,0.7804530276973276,0.9920781770508544,1.0000000000000002,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 4-1, 3-0, 1-0, 2-0, 1-0, 3-0"
12.0,0.5922952553560746,0.3653426345712443,0.5938865583335637,0.7852292371813083,0.623306799438179,0.7872906004034249,0.7909996026164777,0.6319774033671041,0.7929803505027445,0.99756065483623,0.9999999999999984,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5902271788979523,0.36343226054461863,0.5928639219628542,0.7762107999936392,0.610280993129551,0.7790293425002197,0.7760688306654062,0.6098467964177455,0.7789848697844135,0.9963321212993655,1.0,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.598557019802363,0.3730408769936963,0.5999217922610729,0.7854755722401431,0.623447465779102,0.7873019297381769,0.7835044242068026,0.6196395200750463,0.7851657772466057,0.9978075720854801,0.999999999999999,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5900185840521537,0.36545855315888703,0.5944099388484487,0.7777676077617098,0.6178176569210523,0.7838155434651071,0.7766949127193127,0.6157071234642417,0.782643826115436,0.9924054771211563,0.9999999999999982,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.6011947726141468,0.3730147850532483,0.6012915633491509,0.7688318191711789,0.5956933616169505,0.7688976231277043,0.752981476135614,0.5731862788203779,0.7530539167335313,0.9999216627002855,1.0000000000000002,21.0,21.0,21.0,19.0,"2-0, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5895067257765146,0.3600773779197235,0.5903034657761722,0.780877200476501,0.6144728940252586,0.7818508575258575,0.7843379151018957,0.6195969687132679,0.7853746042369673,0.9986849670410671,0.9999999999999994,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.6035267162000137,0.3778816181189226,0.6039807049036277,0.7881452549607855,0.6256345755835717,0.7886506146288368,0.7859050917657168,0.621822920693565,0.7864214842301068,0.99935956314007,0.999999999999998,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5939685736728302,0.3685711047313348,0.5971807244629249,0.7851245288848294,0.6267903265122138,0.789675379302595,0.7792913549621481,0.6174678638995865,0.7837153161253292,0.9943632232927386,0.9999999999999999,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5910661286259652,0.36270048460214044,0.5920710146106711,0.7794617239535208,0.6134559707189638,0.7810973293049353,0.7852779303120441,0.6221403121494242,0.7869835201038309,0.9977765995219869,0.9999999999999983,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
12.0,0.5926282159616865,0.3633208963512929,0.5926678403076023,0.7871893324719185,0.6233572239752558,0.7873192797014278,0.7907290020670097,0.6285255454193623,0.7908566390421361,0.9998631717498887,1.0000000000000002,18.0,18.0,18.0,18.0,"4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
