Label,Fidelity,Actions,Verbose Sequence
GHZ,0.49999999999994,"[10.0, 5.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 2-1"
GHZ + noise,0.9999885620394967,"[10.0, 5.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 2-1"
GHZ + noise,1.0000129004564058,"[10.0, 5.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 2-1"
GHZ + noise,0.9999789285987826,"[10.0, 5.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 2-1"
GHZ + noise,0.9999914618881847,"[10.0, 5.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 2-1"
GHZ + noise,0.9999784265635001,"[10.0, 5.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 2-1"
W,0.9330070321200665,"[10.0, 6.0, 5.0, 10.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0, 2-3, 1-2"
W + noise,0.8535642899308923,"[10.0, 6.0, 5.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0, 2-3"
W + noise,1.0000108201493254,"[10.0, 6.0, 5.0, 10.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0, 2-3, 1-2"
W + noise,0.9999926624851223,"[10.0, 6.0, 5.0, 10.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0, 2-3, 1-2"
W + noise,0.8535504761126609,"[10.0, 6.0, 5.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0, 2-3"
W + noise,0.9999910672378023,"[10.0, 6.0, 5.0, 10.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0, 2-3, 1-2"
