sequences,seq_str,occur,freq
"[10, 6, 6, 2, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2, 2-3",741,0.741
"[2, 6, 6, 2, 6, 10, 0, 0, 0, 0]","0-1, 1-2, 1-2, 0-1, 1-2, 2-3",35,0.035
"[10, 10, 6, 2, 6, 10, 0, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3",32,0.032
"[10, 6, 6, 2, 10, 6, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 2-3, 1-2",17,0.017
"[10, 6, 6, 2, 6, 10, 2, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2, 2-3, 0-1",15,0.015
"[10, 6, 6, 2, 6, 10, 10, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2, 2-3, 2-3",13,0.013
"[10, 6, 6, 2, 10, 6, 10, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 2-3, 1-2, 2-3",9,0.009
"[10, 10, 6, 2, 6, 10, 2, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 0-1",9,0.009
"[10, 10, 6, 2, 6, 10, 6, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 1-2",9,0.009
"[6, 10, 6, 2, 6, 10, 0, 0, 0, 0]","1-2, 2-3, 1-2, 0-1, 1-2, 2-3",7,0.007
"[10, 6, 2, 6, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 1-2, 2-3",6,0.006
"[10, 6, 6, 2, 10, 10, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 2-3, 2-3",5,0.005
"[10, 6, 2, 6, 2, 6, 10, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 0-1, 1-2, 2-3",5,0.005
"[10, 6, 6, 6, 2, 6, 10, 0, 0, 0]","2-3, 1-2, 1-2, 1-2, 0-1, 1-2, 2-3",4,0.004
"[10, 6, 10, 2, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3",4,0.004
"[10, 10, 6, 2, 6, 6, 10, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 1-2, 2-3",4,0.004
"[10, 10, 6, 2, 6, 10, 10, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 2-3",4,0.004
"[10, 6, 2, 10, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 1-2, 2-3",3,0.003
"[10, 6, 2, 6, 10, 6, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 2-3, 1-2",3,0.003
"[10, 6, 10, 2, 6, 10, 2, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 0-1",3,0.003
"[10, 6, 6, 2, 6, 0, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2",3,0.003
"[10, 6, 2, 2, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 0-1, 0-1, 1-2, 2-3",3,0.003
"[10, 6, 2, 6, 2, 10, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 0-1, 2-3",3,0.003
"[10, 10, 6, 2, 6, 10, 2, 10, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 0-1, 2-3",2,0.002
"[2, 6, 10, 2, 6, 10, 0, 0, 0, 0]","0-1, 1-2, 2-3, 0-1, 1-2, 2-3",2,0.002
"[10, 10, 6, 2, 6, 10, 10, 2, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 2-3, 0-1",2,0.002
"[10, 6, 2, 6, 10, 10, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 2-3, 2-3",2,0.002
"[10, 10, 6, 2, 6, 10, 2, 2, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 0-1, 0-1",2,0.002
"[10, 2, 6, 2, 6, 10, 0, 0, 0, 0]","2-3, 0-1, 1-2, 0-1, 1-2, 2-3",2,0.002
"[10, 6, 2, 6, 6, 10, 2, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 1-2, 2-3, 0-1",2,0.002
"[2, 6, 6, 2, 10, 6, 0, 0, 0, 0]","0-1, 1-2, 1-2, 0-1, 2-3, 1-2",1,0.001
"[10, 6, 6, 2, 2, 6, 10, 10, 0, 0]","2-3, 1-2, 1-2, 0-1, 0-1, 1-2, 2-3, 2-3",1,0.001
"[10, 6, 10, 2, 6, 10, 6, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 1-2",1,0.001
"[10, 6, 2, 10, 6, 10, 2, 2, 0, 0]","2-3, 1-2, 0-1, 2-3, 1-2, 2-3, 0-1, 0-1",1,0.001
"[10, 6, 6, 2, 10, 10, 6, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 2-3, 2-3, 1-2",1,0.001
"[6, 10, 10, 6, 2, 6, 10, 0, 0, 0]","1-2, 2-3, 2-3, 1-2, 0-1, 1-2, 2-3",1,0.001
"[10, 6, 2, 2, 6, 6, 10, 0, 0, 0]","2-3, 1-2, 0-1, 0-1, 1-2, 1-2, 2-3",1,0.001
"[6, 10, 6, 2, 6, 10, 2, 0, 0, 0]","1-2, 2-3, 1-2, 0-1, 1-2, 2-3, 0-1",1,0.001
"[10, 6, 2, 6, 10, 2, 6, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 2-3, 0-1, 1-2",1,0.001
"[10, 6, 2, 10, 6, 10, 2, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 1-2, 2-3, 0-1",1,0.001
"[10, 10, 6, 2, 6, 10, 6, 2, 2, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 1-2, 0-1, 0-1",1,0.001
"[10, 6, 6, 2, 6, 10, 6, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2, 2-3, 1-2",1,0.001
"[10, 10, 6, 2, 2, 10, 10, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 0-1, 2-3, 2-3",1,0.001
"[6, 10, 10, 6, 2, 10, 0, 0, 0, 0]","1-2, 2-3, 2-3, 1-2, 0-1, 2-3",1,0.001
"[6, 10, 6, 2, 6, 10, 10, 0, 0, 0]","1-2, 2-3, 1-2, 0-1, 1-2, 2-3, 2-3",1,0.001
"[10, 6, 2, 6, 10, 10, 10, 6, 2, 0]","2-3, 1-2, 0-1, 1-2, 2-3, 2-3, 2-3, 1-2, 0-1",1,0.001
"[10, 10, 6, 6, 2, 10, 10, 0, 0, 0]","2-3, 2-3, 1-2, 1-2, 0-1, 2-3, 2-3",1,0.001
"[10, 6, 2, 6, 6, 2, 10, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 1-2, 0-1, 2-3",1,0.001
"[10, 10, 6, 6, 2, 6, 10, 0, 0, 0]","2-3, 2-3, 1-2, 1-2, 0-1, 1-2, 2-3",1,0.001
"[2, 6, 6, 2, 6, 10, 10, 0, 0, 0]","0-1, 1-2, 1-2, 0-1, 1-2, 2-3, 2-3",1,0.001
"[2, 6, 2, 6, 10, 2, 0, 0, 0, 0]","0-1, 1-2, 0-1, 1-2, 2-3, 0-1",1,0.001
"[10, 10, 6, 6, 2, 6, 10, 2, 0, 0]","2-3, 2-3, 1-2, 1-2, 0-1, 1-2, 2-3, 0-1",1,0.001
"[10, 2, 6, 6, 2, 6, 10, 0, 0, 0]","2-3, 0-1, 1-2, 1-2, 0-1, 1-2, 2-3",1,0.001
"[6, 2, 6, 2, 6, 10, 0, 0, 0, 0]","1-2, 0-1, 1-2, 0-1, 1-2, 2-3",1,0.001
"[10, 10, 6, 10, 2, 6, 10, 0, 0, 0]","2-3, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3",1,0.001
"[6, 10, 10, 10, 6, 6, 10, 2, 2, 6]","1-2, 2-3, 2-3, 2-3, 1-2, 1-2, 2-3, 0-1, 0-1, 1-2",1,0.001
"[10, 10, 6, 2, 6, 6, 10, 2, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 1-2, 2-3, 0-1",1,0.001
"[2, 6, 6, 2, 10, 6, 10, 0, 0, 0]","0-1, 1-2, 1-2, 0-1, 2-3, 1-2, 2-3",1,0.001
"[10, 10, 6, 6, 2, 10, 6, 10, 6, 0]","2-3, 2-3, 1-2, 1-2, 0-1, 2-3, 1-2, 2-3, 1-2",1,0.001
"[10, 10, 6, 2, 6, 10, 10, 6, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 2-3, 1-2",1,0.001
"[10, 6, 6, 10, 2, 6, 10, 0, 0, 0]","2-3, 1-2, 1-2, 2-3, 0-1, 1-2, 2-3",1,0.001
"[10, 10, 10, 2, 6, 10, 2, 2, 10, 0]","2-3, 2-3, 2-3, 0-1, 1-2, 2-3, 0-1, 0-1, 2-3",1,0.001
"[10, 10, 6, 2, 6, 10, 10, 10, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 2-3, 2-3",1,0.001
"[2, 6, 2, 2, 6, 10, 0, 0, 0, 0]","0-1, 1-2, 0-1, 0-1, 1-2, 2-3",1,0.001
"[2, 6, 2, 6, 2, 6, 10, 0, 0, 0]","0-1, 1-2, 0-1, 1-2, 0-1, 1-2, 2-3",1,0.001
"[2, 6, 2, 10, 6, 10, 0, 0, 0, 0]","0-1, 1-2, 0-1, 2-3, 1-2, 2-3",1,0.001
