N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
6.0,0.8136982986388943,0.6683131395896607,0.8136983012522339,0.9056395238826453,0.8217393874710159,0.9056395228278091,0.868095363009717,0.7555821407831739,0.8680953652854633,0.9999999999900776,0.9999999999999979,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8256954170411569,0.6877139575590248,0.8256953658190381,0.9133454654242307,0.8355476967183632,0.9133454154190327,0.8993487029081361,0.8101039954218903,0.8993486959939069,0.9999999991422145,0.9999999999999971,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8087657805482416,0.6597918686097156,0.8087657598766284,0.8981280170795096,0.8082385692922551,0.898128015097563,0.8881612992646108,0.790066280881249,0.8881612998142592,0.9999999999869681,0.9999999999999968,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8239472408823104,0.6858533332494703,0.8248967680018358,0.8968287501009742,0.8086119323088368,0.8980141925338073,0.9437355465406007,0.8934272411456545,0.9449876602871314,0.9986682920117249,0.9999999999999989,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8110465656361534,0.6628801679516733,0.8110465701779042,0.8974653084542876,0.8072254478925522,0.8974652951430833,0.9533176700004137,0.9090762499453205,0.953317671316916,0.999999999909553,0.9999999999999971,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7950926615500761,0.6383285160847317,0.7950926781763724,0.900991837189282,0.8132308166456645,0.9009918427457131,0.9433451390239775,0.8902282445354115,0.9433451379618523,0.999999999968806,0.9999999999999988,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8114568863365724,0.6636302402808103,0.8114568804881839,0.9028460152629446,0.8164937334609803,0.902846015036573,0.8685158062038096,0.7562334074939894,0.8685158050349916,0.9999999999979602,0.9999999999999989,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8096011652186491,0.6613840514169083,0.8096010017266809,0.9054822592013863,0.82122422287124,0.905482315963018,0.9434754069746902,0.8905117050342483,0.9434754049031364,0.9999999990536902,0.999999999999997,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8101990213772405,0.6622372652092974,0.8101990234030962,0.901581841604759,0.814574722776257,0.9015818418109394,0.9379198880588838,0.8802202992460695,0.9379198875533863,0.9999999999994925,0.9999999999999967,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8047953074853432,0.6558377903310731,0.8054254793862891,0.9068044387430275,0.8248135638560516,0.9073693338130354,0.9535306120257151,0.9108724345579142,0.9542826590866382,0.9992113043770887,0.9999999999999987,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8017133010377391,0.6647948573080746,0.8118235305836012,0.8919191782421994,0.8173120799722919,0.9031438125423706,0.9176674162270033,0.8651355371115831,0.9297816728356771,0.9867898726640851,0.9999999999999969,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.813616236027084,0.6677879180653314,0.8136160782405361,0.8912656811322947,0.7961260713230152,0.8912656380142528,0.925052400185014,0.8564188478559289,0.9250524049287191,0.9999999992771749,0.9999999999999959,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.8142353277621474,0.6698899850503512,0.8142353199057701,0.9144388926265774,0.8377364386657633,0.9144388722792218,0.8494607537553627,0.7252548280778839,0.8494607430344945,0.9999999999082563,0.9999999999999978,6.0,6.0,6.0,6.0,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
