sequences,seq_str,occur,freq
"[6, 6, 2, 6, 10, 0, 0, 0, 0, 0]","1-2, 1-2, 0-1, 1-2, 2-3",556,0.556
"[6, 2, 6, 10, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 1-2, 2-3",105,0.105
"[6, 2, 10, 6, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-2",28,0.028
"[6, 10, 6, 2, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 1-2, 0-1",26,0.026
"[6, 2, 6, 6, 10, 0, 0, 0, 0, 0]","1-2, 0-1, 1-2, 1-2, 2-3",18,0.018
"[10, 6, 2, 6, 10, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 2-3",16,0.016
"[2, 6, 2, 6, 10, 0, 0, 0, 0, 0]","0-1, 1-2, 0-1, 1-2, 2-3",15,0.015
"[2, 6, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3",13,0.013
"[6, 6, 10, 6, 2, 0, 0, 0, 0, 0]","1-2, 1-2, 2-3, 1-2, 0-1",13,0.013
"[6, 6, 6, 2, 6, 10, 0, 0, 0, 0]","1-2, 1-2, 1-2, 0-1, 1-2, 2-3",12,0.012
"[2, 10, 6, 0, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2",10,0.01
"[6, 2, 10, 0, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3",10,0.01
"[6, 6, 2, 10, 6, 0, 0, 0, 0, 0]","1-2, 1-2, 0-1, 2-3, 1-2",8,0.008
"[2, 2, 6, 10, 0, 0, 0, 0, 0, 0]","0-1, 0-1, 1-2, 2-3",8,0.008
"[6, 10, 6, 6, 2, 0, 0, 0, 0, 0]","1-2, 2-3, 1-2, 1-2, 0-1",8,0.008
"[6, 2, 6, 10, 6, 0, 0, 0, 0, 0]","1-2, 0-1, 1-2, 2-3, 1-2",7,0.007
"[2, 6, 10, 6, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2",6,0.006
"[6, 2, 6, 6, 6, 10, 0, 0, 0, 0]","1-2, 0-1, 1-2, 1-2, 1-2, 2-3",6,0.006
"[2, 6, 10, 6, 2, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2, 0-1",6,0.006
"[2, 6, 10, 2, 6, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 0-1, 1-2",5,0.005
"[10, 6, 2, 0, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1",5,0.005
"[2, 6, 6, 10, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 1-2, 2-3",5,0.005
"[6, 6, 2, 6, 10, 6, 0, 0, 0, 0]","1-2, 1-2, 0-1, 1-2, 2-3, 1-2",5,0.005
"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]","1-2, 0-1",4,0.004
"[6, 2, 10, 6, 2, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-2, 0-1",4,0.004
"[6, 10, 2, 6, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2",3,0.003
"[6, 10, 0, 0, 0, 0, 0, 0, 0, 0]","1-2, 2-3",3,0.003
