N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
4.0,0.6520268123002739,0.5553372483176703,0.7355711251814585,0.8284844237908965,0.8723503303550424,0.9332688831518393,0.8277450773654036,0.8714223727949769,0.9328506047820231,0.8876927413395599,0.9999999999999991,4.0,4.0,4.0,4.0,"1-2, 2-3, 1-0, 1-2"
2.0,0.6728807292356764,0.6057827880242357,0.7707964897001003,0.8464582398296288,0.9404731572721405,0.9695967212066829,0.846450889914292,0.9417295917669422,0.9702715728033661,0.8723862133570814,1.0000000000000002,2.0,2.0,2.0,2.0,"1-0, 1-2"
4.0,0.5284345569130561,0.5649664722687698,0.7438425421946413,0.6664690532995996,0.8815640971554655,0.9384261971656485,0.6640587506767508,0.8778217714013083,0.9365065626781102,0.7088841169530369,1.0000000000000013,4.0,4.0,4.0,4.0,"1-2, 2-3, 1-0, 1-2"
3.0,0.6312542005229687,0.6002166922668934,0.7662229084293328,0.7883006521623955,0.9184908456468657,0.9581408533957121,0.7887923771975138,0.9184280318634024,0.9581296419457255,0.823283304270832,0.9999999999999984,3.0,3.0,3.0,3.0,"2-3, 2-3, 1-2"
4.0,0.6998027066781201,0.5628608720642254,0.7434156142765981,0.8793164597705712,0.8780863263864229,0.9365442425257455,0.8779238217908988,0.8753897686953074,0.9351386745528406,0.9383929998218543,1.0000000000000002,4.0,4.0,4.0,4.0,"1-2, 2-3, 1-0, 1-2"
4.0,0.16340249285867142,0.6154010558985582,0.7765313006155504,0.19010524160242054,0.8958390361231617,0.9460936061109164,0.19050114273897129,0.8942132901212105,0.9452448880271891,0.20003499836755656,1.0000000000000004,4.0,4.0,4.0,4.0,"1-2, 2-3, 1-0, 1-2"
5.0,0.6916807543331147,0.530427830964343,0.7206001941240109,0.879177184630253,0.843165188310961,0.9175857375836229,0.8811027959814792,0.8466253704381215,0.9196504983993172,0.9571401053490323,0.9999999999999978,5.0,5.0,5.0,5.0,"2-3, 1-2, 0-1, 2-1, 2-3"
4.0,0.5885259384171051,0.538735596111418,0.7252824530015177,0.7501934663286111,0.8667848393143661,0.930426075928404,0.7516615432492462,0.868791017198485,0.931595696512654,0.8053724602123673,0.9999999999999998,4.0,4.0,4.0,4.0,"1-2, 2-3, 1-0, 1-2"
4.0,0.6066705836215902,0.5594106322869851,0.7408348689392887,0.7653134491290334,0.8785362672054389,0.9368223749248177,0.7631206384736664,0.8724047238757922,0.9335412805333425,0.8171530127699134,0.9999999999999996,4.0,4.0,4.0,4.0,"1-2, 2-3, 1-0, 1-2"
7.0,0.7056839982038227,0.5169112540246951,0.7091500280797336,0.8857146343275211,0.7947366324761154,0.8902605408678834,0.8860487798887651,0.7950476747771672,0.8906387369379594,0.9948516219010173,0.9999999999999989,7.0,7.0,7.0,7.0,"1-2, 2-3, 0-1, 1-0, 1-2, 2-3, 1-2"
