sequences,seq_str,occur,freq
"[4, 7, 10, 3, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3, 0-2",12,0.012
"[4, 3, 7, 6, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 1-3, 1-2",12,0.012
"[3, 4, 7, 6, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 1-3, 1-2",9,0.009
"[2, 4, 7, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 1-3, 1-2",9,0.009
"[4, 7, 3, 6, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 0-2, 1-2",8,0.008
"[4, 2, 10, 3, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 2-3, 0-2",8,0.008
"[7, 4, 7, 6, 0, 0, 0, 0, 0, 0]","1-3, 0-3, 1-3, 1-2",8,0.008
"[4, 7, 3, 10, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 0-2, 2-3",6,0.006
"[10, 4, 7, 6, 0, 0, 0, 0, 0, 0]","2-3, 0-3, 1-3, 1-2",6,0.006
"[2, 3, 7, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-2, 1-3, 1-2",5,0.005
"[4, 7, 2, 6, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 0-1, 1-2",5,0.005
"[4, 4, 7, 6, 0, 0, 0, 0, 0, 0]","0-3, 0-3, 1-3, 1-2",5,0.005
"[2, 3, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-2, 2-3",5,0.005
"[4, 7, 4, 7, 6, 0, 0, 0, 0, 0]","0-3, 1-3, 0-3, 1-3, 1-2",5,0.005
"[4, 7, 7, 6, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 1-3, 1-2",4,0.004
"[2, 7, 10, 3, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 2-3, 0-2",4,0.004
"[4, 2, 7, 6, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 1-3, 1-2",4,0.004
"[4, 7, 3, 7, 6, 0, 0, 0, 0, 0]","0-3, 1-3, 0-2, 1-3, 1-2",4,0.004
"[3, 10, 2, 3, 0, 0, 0, 0, 0, 0]","0-2, 2-3, 0-1, 0-2",4,0.004
"[2, 4, 7, 10, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 1-3, 2-3",4,0.004
"[2, 4, 3, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 0-2, 1-2",4,0.004
"[4, 7, 10, 0, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3",4,0.004
"[3, 7, 6, 0, 0, 0, 0, 0, 0, 0]","0-2, 1-3, 1-2",4,0.004
"[2, 7, 3, 6, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 0-2, 1-2",4,0.004
"[4, 7, 10, 4, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3, 0-3",4,0.004
"[4, 2, 3, 7, 6, 0, 0, 0, 0, 0]","0-3, 0-1, 0-2, 1-3, 1-2",3,0.003
"[7, 10, 3, 2, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-2, 0-1",3,0.003
"[4, 4, 7, 3, 6, 0, 0, 0, 0, 0]","0-3, 0-3, 1-3, 0-2, 1-2",3,0.003
"[4, 2, 10, 10, 3, 0, 0, 0, 0, 0]","0-3, 0-1, 2-3, 2-3, 0-2",3,0.003
"[7, 4, 3, 0, 0, 0, 0, 0, 0, 0]","1-3, 0-3, 0-2",3,0.003
"[3, 4, 7, 10, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 1-3, 2-3",3,0.003
"[4, 3, 7, 7, 6, 0, 0, 0, 0, 0]","0-3, 0-2, 1-3, 1-3, 1-2",3,0.003
"[4, 3, 3, 6, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 0-2, 1-2",3,0.003
"[3, 7, 7, 6, 0, 0, 0, 0, 0, 0]","0-2, 1-3, 1-3, 1-2",3,0.003
"[7, 7, 10, 3, 0, 0, 0, 0, 0, 0]","1-3, 1-3, 2-3, 0-2",3,0.003
"[4, 2, 7, 10, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 1-3, 2-3",3,0.003
"[2, 4, 10, 7, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 2-3, 1-3",3,0.003
"[3, 2, 10, 3, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 2-3, 0-2",3,0.003
"[10, 3, 6, 0, 0, 0, 0, 0, 0, 0]","2-3, 0-2, 1-2",3,0.003
"[4, 2, 3, 10, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 0-2, 2-3",3,0.003
"[4, 4, 7, 10, 3, 0, 0, 0, 0, 0]","0-3, 0-3, 1-3, 2-3, 0-2",3,0.003
"[4, 7, 3, 6, 7, 0, 0, 0, 0, 0]","0-3, 1-3, 0-2, 1-2, 1-3",3,0.003
"[10, 3, 3, 6, 7, 0, 0, 0, 0, 0]","2-3, 0-2, 0-2, 1-2, 1-3",3,0.003
"[7, 4, 3, 7, 6, 0, 0, 0, 0, 0]","1-3, 0-3, 0-2, 1-3, 1-2",3,0.003
"[3, 10, 7, 2, 0, 0, 0, 0, 0, 0]","0-2, 2-3, 1-3, 0-1",3,0.003
"[3, 2, 3, 10, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 0-2, 2-3",3,0.003
"[7, 2, 4, 10, 3, 0, 0, 0, 0, 0]","1-3, 0-1, 0-3, 2-3, 0-2",3,0.003
"[3, 10, 3, 6, 0, 0, 0, 0, 0, 0]","0-2, 2-3, 0-2, 1-2",3,0.003
"[4, 3, 7, 2, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 1-3, 0-1",3,0.003
"[10, 3, 2, 0, 0, 0, 0, 0, 0, 0]","2-3, 0-2, 0-1",3,0.003
"[2, 10, 3, 6, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 0-2, 1-2",3,0.003
