sequences,seq_str,occur,freq
"[7, 2, 10, 7, 3, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 0-2",716,0.716
"[2, 2, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-3, 0-2",65,0.065
"[7, 6, 10, 7, 3, 0, 0, 0, 0, 0]","1-3, 1-2, 2-3, 1-3, 0-2",38,0.038
"[7, 2, 10, 7, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3",31,0.031
"[6, 2, 10, 7, 3, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-3, 0-2",22,0.022
"[7, 10, 10, 7, 3, 0, 0, 0, 0, 0]","1-3, 2-3, 2-3, 1-3, 0-2",21,0.021
"[7, 2, 6, 7, 3, 0, 0, 0, 0, 0]","1-3, 0-1, 1-2, 1-3, 0-2",20,0.02
"[3, 2, 10, 7, 3, 0, 0, 0, 0, 0]","0-2, 0-1, 2-3, 1-3, 0-2",14,0.014
"[2, 6, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-3, 0-2",6,0.006
"[10, 2, 10, 7, 3, 0, 0, 0, 0, 0]","2-3, 0-1, 2-3, 1-3, 0-2",6,0.006
"[7, 2, 10, 7, 6, 3, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 1-2, 0-2",5,0.005
"[7, 2, 6, 7, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 1-2, 1-3",5,0.005
"[2, 3, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 0-2, 2-3, 1-3, 0-2",5,0.005
"[7, 2, 10, 6, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-2",2,0.002
"[7, 2, 7, 10, 7, 3, 0, 0, 0, 0]","1-3, 0-1, 1-3, 2-3, 1-3, 0-2",2,0.002
"[7, 2, 10, 7, 6, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 1-2",2,0.002
"[3, 10, 10, 7, 3, 0, 0, 0, 0, 0]","0-2, 2-3, 2-3, 1-3, 0-2",2,0.002
"[2, 10, 7, 10, 7, 3, 0, 0, 0, 0]","0-1, 2-3, 1-3, 2-3, 1-3, 0-2",1,0.001
"[2, 6, 10, 7, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-3",1,0.001
"[2, 10, 6, 7, 3, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2, 1-3, 0-2",1,0.001
"[2, 2, 7, 6, 10, 3, 0, 0, 0, 0]","0-1, 0-1, 1-3, 1-2, 2-3, 0-2",1,0.001
"[10, 2, 6, 7, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-2, 1-3",1,0.001
"[10, 7, 10, 7, 3, 6, 0, 0, 0, 0]","2-3, 1-3, 2-3, 1-3, 0-2, 1-2",1,0.001
"[2, 7, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 1-3, 2-3, 1-3, 0-2",1,0.001
"[7, 10, 3, 4, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-2, 0-3",1,0.001
"[3, 2, 10, 7, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 2-3, 1-3",1,0.001
"[3, 6, 10, 7, 3, 0, 0, 0, 0, 0]","0-2, 1-2, 2-3, 1-3, 0-2",1,0.001
"[7, 6, 10, 7, 0, 0, 0, 0, 0, 0]","1-3, 1-2, 2-3, 1-3",1,0.001
"[3, 10, 2, 6, 0, 0, 0, 0, 0, 0]","0-2, 2-3, 0-1, 1-2",1,0.001
"[7, 6, 2, 7, 0, 0, 0, 0, 0, 0]","1-3, 1-2, 0-1, 1-3",1,0.001
"[10, 2, 3, 7, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 0-2, 1-3",1,0.001
"[7, 2, 3, 6, 7, 0, 0, 0, 0, 0]","1-3, 0-1, 0-2, 1-2, 1-3",1,0.001
"[4, 3, 10, 7, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 2-3, 1-3",1,0.001
"[2, 4, 3, 6, 7, 0, 0, 0, 0, 0]","0-1, 0-3, 0-2, 1-2, 1-3",1,0.001
"[2, 6, 10, 6, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2",1,0.001
"[2, 6, 10, 4, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 0-3",1,0.001
"[6, 6, 10, 7, 3, 0, 0, 0, 0, 0]","1-2, 1-2, 2-3, 1-3, 0-2",1,0.001
"[2, 6, 10, 6, 3, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2, 0-2",1,0.001
"[2, 10, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 2-3, 2-3, 1-3, 0-2",1,0.001
"[6, 2, 10, 7, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-3",1,0.001
"[2, 6, 4, 7, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 0-3, 1-3",1,0.001
"[10, 2, 7, 10, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-3, 2-3",1,0.001
"[10, 7, 4, 7, 3, 0, 0, 0, 0, 0]","2-3, 1-3, 0-3, 1-3, 0-2",1,0.001
"[7, 10, 6, 7, 3, 0, 0, 0, 0, 0]","1-3, 2-3, 1-2, 1-3, 0-2",1,0.001
"[6, 2, 6, 7, 3, 0, 0, 0, 0, 0]","1-2, 0-1, 1-2, 1-3, 0-2",1,0.001
"[7, 10, 2, 7, 3, 0, 0, 0, 0, 0]","1-3, 2-3, 0-1, 1-3, 0-2",1,0.001
"[6, 2, 7, 10, 7, 6, 0, 0, 0, 0]","1-2, 0-1, 1-3, 2-3, 1-3, 1-2",1,0.001
"[3, 4, 10, 7, 3, 0, 0, 0, 0, 0]","0-2, 0-3, 2-3, 1-3, 0-2",1,0.001
"[2, 10, 4, 3, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 0-3, 0-2",1,0.001
"[7, 2, 7, 7, 3, 0, 0, 0, 0, 0]","1-3, 0-1, 1-3, 1-3, 0-2",1,0.001
"[10, 2, 7, 7, 3, 0, 0, 0, 0, 0]","2-3, 0-1, 1-3, 1-3, 0-2",1,0.001
"[7, 10, 10, 7, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 2-3, 1-3",1,0.001
"[3, 6, 7, 10, 0, 0, 0, 0, 0, 0]","0-2, 1-2, 1-3, 2-3",1,0.001
"[6, 2, 2, 7, 3, 0, 0, 0, 0, 0]","1-2, 0-1, 0-1, 1-3, 0-2",1,0.001
"[2, 2, 10, 7, 0, 0, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-3",1,0.001
