N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
5.0,0.6837957837830309,0.5030341783139427,0.7010906008533516,0.8533205516964018,0.7699220548166996,0.8770759260712254,0.8513596829363685,0.7665678017093868,0.8749778804614019,0.9735813793842378,0.999999999999999,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
3.0,0.7196136165140039,0.602977802786389,0.7699932980820263,0.8966596620296139,0.9205105676471825,0.9602430025341778,0.8985637980446576,0.9239199948485606,0.9616430362364832,0.9349538574829686,1.0000000000000004,3.0,3.0,3.0,3.0,"1-2, 2-3, 0-1"
5.0,0.6197935303063578,0.49879838934809306,0.6987508774592823,0.7751422222747757,0.7641254928037498,0.8731244264067985,0.7768872237825801,0.7660166855577926,0.8743331106341335,0.8885666066501385,1.0000000000000007,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.7029707764192494,0.5715244392077494,0.7495421007674702,0.846347555112138,0.8113439556341983,0.9004134848584099,0.8459845809043177,0.811668999717555,0.9005809820607887,0.9402957424776587,1.0000000000000016,8.0,8.0,8.0,8.0,"2-3, 1-0, 2-3, 3-1, 0-2"
4.0,0.7302987026410773,0.5598007216614472,0.7423520633013454,0.9186069502598642,0.8706265600337353,0.9333289276455017,0.9153063803972,0.8645656954529355,0.9302507709107805,0.9854666099114542,1.0000000000000004,4.0,4.0,4.0,4.0,"1-3, 0-1, 2-3, 3-1"
5.0,0.6752507422639048,0.47924130361629413,0.6842473193921985,0.85128160235256,0.7451875625041331,0.8625599848607064,0.8454250341756085,0.7354517073821978,0.8566984444536045,0.9875413166368919,0.9999999999999987,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.6667734766556243,0.4712758278705054,0.6783747803975242,0.8441799551083312,0.739658886645996,0.8593736448521541,0.8479574961338278,0.745718676931125,0.8631751917526947,0.9846165343157864,0.9999999999999984,11.0,11.0,11.0,11.0,"0-2, 0-1, 2-3, 3-1, 0-2"
5.0,0.6630742434273704,0.5195589542537011,0.7135606177535333,0.810295521716593,0.7586151581652939,0.8705648112773098,0.7958709882134413,0.731091218791811,0.8542503091941797,0.9301717919017001,1.0000000000000018,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.6661201684791057,0.49256661988453243,0.6941777635721608,0.8274677367096358,0.7459595669895687,0.8630470596356985,0.8238073627310613,0.7386855178699375,0.8588050814117851,0.9603985628981387,1.000000000000001,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
3.0,0.736478249986941,0.5950035591617601,0.7650089752343242,0.9195523536675976,0.9114517400497651,0.9553143960154555,0.9209427514279723,0.9142337772639577,0.9569223302292227,0.9634788411835108,0.9999999999999998,3.0,3.0,3.0,3.0,"3-0, 1-2, 3-1"
