Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999999557,"[6.0, 11.0, 12.0, 10.0, 10.0, 10.0, 10.0, 10.0, 0.0, 0.0]","1-2, 3-0, 3-1, 2-3, 2-3, 2-3, 2-3, 2-3"
GHZ + noise,1.000024812410917,"[6.0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 3-0, 3-1"
GHZ + noise,0.9999915437607082,"[6.0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 3-0, 3-1"
GHZ + noise,1.0000252612917344,"[6.0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 3-0, 3-1"
GHZ + noise,1.0000023907856759,"[6.0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 3-0, 3-1"
GHZ + noise,0.9999928419031443,"[6.0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 3-0, 3-1"
W,0.9999999999985946,"[7.0, 2.0, 10.0, 12.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0]","1-3, 0-1, 2-3, 3-1, 1-2, 0-2"
W + noise,0.9999897731044365,"[7.0, 2.0, 10.0, 12.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0]","1-3, 0-1, 2-3, 3-1, 1-2, 0-2"
W + noise,0.9999976801098488,"[7.0, 10.0, 10.0, 12.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0]","1-3, 2-3, 2-3, 3-1, 1-2, 0-2"
W + noise,1.000008062996626,"[7.0, 10.0, 10.0, 12.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0]","1-3, 2-3, 2-3, 3-1, 1-2, 0-2"
W + noise,0.9999910232612432,"[7.0, 2.0, 10.0, 12.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0]","1-3, 0-1, 2-3, 3-1, 1-2, 0-2"
W + noise,1.0000135638863297,"[7.0, 2.0, 10.0, 12.0, 6.0, 3.0, 0.0, 0.0, 0.0, 0.0]","1-3, 0-1, 2-3, 3-1, 1-2, 0-2"
